Winner,Year,State,Democratic,Republican,Independent
rep,1980,Nationwide,41.01288529,50.74950111,6.611803595
rep,1980,Alabama,47.44885907,48.75012016,1.228157376
rep,1980,Alaska,26.4079018,54.34819654,7.040297895
rep,1980,Arizona,28.24468359,60.60884838,8.805130758
rep,1980,Arkansas,47.52263062,48.13427223,2.682483625
rep,1980,California,35.91054357,52.69389546,8.615669875
rep,1980,Colorado,31.06791116,55.07056226,11.02932671
rep,1980,Connecticut,38.52220567,48.15595701,12.2170826
rep,1980,Delaware,44.87414498,47.20708794,6.911417757
rep,1980,Florida,38.49918606,55.51767197,5.144851162
dem,1980,Georgia,55.7590861,40.95032949,2.25701063
dem,1980,Hawaii,44.80211813,42.90061889,10.55798633
rep,1980,Idaho,25.19071579,66.45596677,6.185661281
rep,1980,Illinois,41.71640818,49.64605289,7.30051302
rep,1980,Indiana,37.65319244,56.00524167,4.979364711
rep,1980,Iowa,38.60416298,51.30500182,8.775625901
rep,1980,Kansas,33.28757546,57.85006047,6.963803653
rep,1980,Kentucky,47.61348249,49.07004102,2.404321863
rep,1980,Louisiana,45.74823178,51.1983474,1.701223887
rep,1980,Maine,42.2503542,45.60554176,10.19615266
dem,1980,Maryland,47.13812954,44.18096509,7.759643647
rep,1980,Massachusetts,41.74633898,41.89802472,15.15427259
rep,1980,Michigan,42.4974135,48.98618189,7.039446508
dem,1980,Minnesota,46.50077268,42.55657902,8.527973107
rep,1980,Mississippi,48.0922453,49.41509265,1.348390132
rep,1980,Missouri,44.34571659,51.15576353,3.71078719
rep,1980,Montana,32.4306502,56.82452631,8.045291687
rep,1980,Nebraska,26.03572733,65.5277177,7.020787886
rep,1980,Nevada,26.89392259,62.53585332,7.12064062
rep,1980,New Hampshire,28.35007383,57.73582744,12.94091912
rep,1980,New Jersey,38.55799204,51.97315978,7.884977034
rep,1980,New Mexico,36.78482894,54.96682645,6.456951102
rep,1980,New York,43.99209992,46.65995051,7.54279414
rep,1980,North Carolina,47.18285535,49.30497518,2.845083582
rep,1980,North Dakota,26.26108873,64.2341939,7.839625926
rep,1980,Ohio,40.90981354,51.51142625,5.940606541
rep,1980,Oklahoma,34.96766135,60.49970949,3.329888981
rep,1980,Oregon,38.66981065,48.33146568,9.512270676
rep,1980,Pennsylvania,42.47593062,49.58613404,6.421592366
dem,1980,Rhode Island,47.67011479,37.20341672,14.37707897
rep,1980,South Carolina,48.03596968,49.56919748,1.589739384
